,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
0,0,0.0,16,52403.8853054016,87451.67942037064,0.692101187662266
1,0,0.2,13,39788.9021943573,71705.48498011599,0.7929970853140376
2,0,0.4,12,35775.093886150615,66812.01829780947,0.820286423049565
3,0,0.6,7,32996.01372871499,62700.42293315593,0.8417248819493459
4,0,0.8,4,32936.05028682276,62651.47530771002,0.8419719031615704
5,0,0.85,5,33552.0649425045,64422.685610067325,0.8329104242121657
6,0,0.9,5,34726.80078877351,66532.5980506861,0.8217864707314007
7,0,0.95,5,37490.33693616686,73063.72093846835,0.7850807693168128
8,0,1.0,8,44993.93616196154,87432.79363238839,0.6922341590092629
9,1,0.0,17,52753.053332783464,83338.29321038755,0.6748457274450671
10,1,0.2,17,38605.09487992479,66350.35342752298,0.7938958471147125
11,1,0.4,16,33751.49017617489,60736.92653743516,0.827294612798094
12,1,0.6,8,32313.521301142755,58043.419489957174,0.8422729279405949
13,1,0.8,7,32428.948727376854,59481.94541000292,0.834357952685351
14,1,0.85,7,33214.79286667953,61292.73805374399,0.8241192509666673
15,1,0.9,7,34593.60500937907,63506.24794844907,0.8111864442822587
16,1,0.95,5,36725.5059830992,68699.90926819887,0.7790405457718529
17,1,1.0,7,43610.94791271015,81824.75510839054,0.6865489781837054
18,2,0.0,15,56329.42493391049,89305.12220231353,0.6634365462773008
19,2,0.2,6,41411.98077502693,72147.2980987769,0.7803382898278217
20,2,0.4,7,37223.6710439218,66972.58681388265,0.8107184144612284
21,2,0.6,7,35302.0907619741,65373.79175199809,0.8196477486623805
22,2,0.8,6,34892.58922954392,66792.0337548021,0.8117376166096633
23,2,0.85,4,34988.07821989282,67614.66697554855,0.8070716526285382
24,2,0.9,6,35573.70657375315,67434.90527466818,0.8080961352578843
25,2,0.95,5,37711.7028958438,72922.75309720665,0.7755909690130839
26,2,1.0,12,44513.25554409334,84491.48443776593,0.6987409528423818
27,3,0.0,11,52047.577132167535,83228.50161309204,0.695601451507158
28,3,0.2,13,39065.31430690728,69069.21194322777,0.7903632457556959
29,3,0.4,13,34759.71961018989,63406.34541124437,0.8233295685282028
30,3,0.6,6,33273.93640091454,61614.04333084626,0.8331762633740694
31,3,0.8,4,32977.456233204895,61249.53687380886,0.8351442711842721
32,3,0.85,4,33389.21436163435,61824.49636536394,0.8320346885228427
33,3,0.9,5,34073.264626259304,64451.11330494026,0.8174594845893612
34,3,0.95,3,36234.36764619052,67699.67848143968,0.7985943555864471
35,3,1.0,5,42536.910018660965,78293.68917895432,0.7306283167949496
36,4,0.0,14,52923.230414924874,83592.50859640141,0.6979604974508985
37,4,0.2,8,39478.69021036925,68893.0811519766,0.7948458785622323
38,4,0.4,10,35857.50996049652,62479.42533130328,0.8312658135074218
39,4,0.6,10,34413.87732581049,61443.385249136656,0.836815351661913
40,4,0.8,5,33664.59622163816,62171.08625469175,0.8329271272668005
41,4,0.85,5,34046.60008482284,62320.45968137895,0.832123337943249
42,4,0.9,4,35084.20741772323,64834.37192324604,0.8183063935689256
43,4,0.95,4,37297.141946277836,69928.1067038437,0.7886352457003287
44,4,1.0,7,44054.80478851933,81642.43875255626,0.7118882519195467
45,5,0.0,13,54338.04675654635,89881.03173800588,0.6859301015414082
46,5,0.2,7,40104.983374262156,72917.8847838507,0.7932914977470703
47,5,0.4,6,35933.42638366634,66622.37291299514,0.8274438627979547
48,5,0.6,7,34536.137830463136,67525.13183412247,0.8227357744505961
49,5,0.8,7,34314.69759424112,68307.0401907813,0.8186067380064304
50,5,0.85,6,34271.83365801417,68916.67564715576,0.8153544454214329
51,5,0.9,5,35298.3328292935,70101.03741462533,0.8089534909921728
52,5,0.95,5,37826.92009482608,74925.61474898571,0.7817517118587727
53,5,1.0,6,44404.9696647837,85394.19027635214,0.716504045584814
54,6,0.0,15,52936.24120793674,82555.1717767487,0.6933445944659747
55,6,0.2,8,38659.42071216637,66848.74963107269,0.7989293737151322
56,6,0.4,14,34486.79525563809,62648.724785996164,0.8234016975953476
57,6,0.6,6,32809.538183510485,61381.450148488824,0.8304739891031527
58,6,0.8,6,32411.50993736979,61646.03024765848,0.8290093812501782
59,6,0.85,6,33338.248757363996,63746.01580683783,0.8171612910735709
60,6,0.9,5,34623.14362414487,66749.41748536789,0.7995264810012197
61,6,0.95,7,37413.45158100465,71618.56977363942,0.7692119373252069
62,6,1.0,7,43842.47997574023,83560.52128553775,0.6858302727250579
63,7,0.0,14,52882.652974338205,90929.93246678614,0.6666903715201489
64,7,0.2,8,39082.33205136122,74413.16054230854,0.7767797327335489
65,7,0.4,10,35467.99285017348,71362.96330202522,0.7947042902899653
66,7,0.6,6,34719.41618145148,70387.98187231617,0.800275588814229
67,7,0.8,5,34007.80609768894,69749.6795622027,0.8038815031447932
68,7,0.85,5,34398.593134360184,69563.63122888638,0.8049263497106721
69,7,0.9,4,35495.132819313185,71092.44794411631,0.7962577679044902
70,7,0.95,4,37598.32385504915,75568.51574891734,0.7697943878763632
71,7,1.0,6,44609.09591728862,88978.00898783292,0.6808465896122926
72,8,0.0,12,53834.33213513711,87758.02563407389,0.6832421607889712
73,8,0.2,9,39857.4263797978,72705.10352220654,0.7825880165822355
74,8,0.4,4,36112.05767158373,67674.98195902561,0.8116307619429435
75,8,0.6,6,34342.26924412275,66863.83307731924,0.8161192684156753
76,8,0.8,4,34225.35049908261,68748.39869586482,0.8056077898106593
77,8,0.85,4,34347.18212599094,68803.15615351089,0.805298003328064
78,8,0.9,4,35427.2032201392,70892.64765677393,0.7932925751439384
79,8,0.95,3,37706.58333619144,77104.03578263446,0.7554836497213598
80,8,1.0,6,45173.90399644949,87677.15665597178,0.6838256762011754
81,9,0.0,8,52989.180322560336,82755.3030080527,0.6954545322683282
82,9,0.2,19,39369.53220450859,67743.48286304323,0.7959223162627046
83,9,0.4,9,35018.334346641175,61999.46904158007,0.8290628673029679
84,9,0.6,8,33400.68930545705,60214.98614087148,0.8387611634413102
85,9,0.8,5,32929.36157886582,60950.96355853366,0.8347955940490854
86,9,0.85,5,33355.5451479641,62507.422910670866,0.8262504605048131
87,9,0.9,3,34632.95096285804,64586.6609616352,0.814499049292404
88,9,0.95,4,36377.02520072561,66309.16436845191,0.804472618518264
89,9,1.0,5,42644.88015762719,75055.95053488674,0.7494867316421918
90,10,0.0,10,51774.0088125371,82462.15588131566,0.7235058527121109
91,10,0.2,10,38003.26823282496,67262.71729437677,0.8160391577143159
92,10,0.4,5,34604.38054907413,63587.04684522798,0.8355954303951346
93,10,0.6,5,33572.52842127064,62479.9724254126,0.8412702867614452
94,10,0.8,5,33972.01009103308,63430.424111358116,0.8364043303941266
95,10,0.85,6,34478.46096971093,64833.80202618215,0.8290852459783136
96,10,0.9,4,35346.85784405026,66605.16809187675,0.8196183186921396
97,10,0.95,3,38078.04376322099,71411.20156265568,0.7926475102836875
98,10,1.0,5,45182.42451493471,85233.3837558088,0.7046098334323563
99,11,0.0,11,52672.06411791234,82968.88402580273,0.7086527231261566
100,11,0.2,7,38413.389896467634,67885.39044478214,0.8049557703315904
101,11,0.4,8,35427.610738006275,65086.149131281716,0.8207093590213537
102,11,0.6,6,33737.04651074267,62780.362099022415,0.8331876892352204
103,11,0.8,6,33795.7231796933,62402.38617195116,0.8351902656118717
104,11,0.85,5,33913.05780708717,62632.955867176526,0.8339701092801779
105,11,0.9,5,35092.228851481465,64212.36276129096,0.8254910252544381
106,11,0.95,3,37244.60317716571,69354.85301097223,0.7964204372650137
107,11,1.0,5,43833.82375006872,80444.7667035928,0.726110073790182
108,12,0.0,19,53643.803105509,82341.48550628117,0.6938500100840317
109,12,0.2,10,38399.04425306137,65149.782143718076,0.8083438368501481
110,12,0.4,13,35153.37587095877,61883.49778508933,0.8270794692426001
111,12,0.6,6,33606.42001003972,59614.321523610095,0.8395284434949891
112,12,0.8,5,32904.86054100334,60299.68686100891,0.835817460959728
113,12,0.85,5,33294.28353814585,61804.94006516803,0.8275182169179192
114,12,0.9,4,34256.251717451516,63931.160059005066,0.8154466113233714
115,12,0.95,4,36177.7915173685,68749.73983063591,0.7865781048851928
116,12,1.0,7,42794.98004325793,81656.93600663276,0.6989192328812096
117,13,0.0,15,52221.36055603866,81359.20339346655,0.6791669719080071
118,13,0.2,10,38247.0812587396,66222.4204741004,0.7874428120561496
119,13,0.4,10,34625.98902588063,61508.313430387185,0.8166278688203761
120,13,0.6,7,32695.659419073614,58533.077031682384,0.8339387107508145
121,13,0.8,8,33211.3269892911,59221.89394382687,0.8300072970550765
122,13,0.85,7,33882.82859836594,60507.88907612958,0.8225444040515808
123,13,0.9,4,34782.69935903985,61327.14194581596,0.8177065156671268
124,13,0.95,4,36343.822788148194,64706.899749691634,0.7970603628274014
125,13,1.0,6,44018.89607856472,83460.02609988983,0.6623842276268495
126,14,0.0,18,54394.616084721834,91533.95518261037,0.6601051297428746
127,14,0.2,11,40131.01587870578,74189.9331540826,0.7767095687499075
128,14,0.4,8,36396.27911360442,69657.12792500721,0.8031609408192664
129,14,0.6,6,34703.51108444909,68631.70533868471,0.8089136198663078
130,14,0.8,4,34888.43780552948,68733.53923117075,0.808346141432886
131,14,0.85,5,35306.8631164775,70690.28577393395,0.797278585607625
132,14,0.9,4,36553.96497180479,72405.66246176287,0.7873207031982107
133,14,0.95,4,39507.69899388397,77721.18149783702,0.7549476108999686
134,14,1.0,6,45743.715234898125,90070.18869421448,0.6708890758100495
135,15,0.0,13,53833.62646038704,89877.42344994641,0.6576801002868821
136,15,0.2,9,39759.87899685755,73816.83093335255,0.7690905476497134
137,15,0.4,7,35538.858904052235,68478.04478327399,0.8012836406640848
138,15,0.6,6,34058.970694078926,65520.04869799311,0.818080463160408
139,15,0.8,7,34085.40164855441,66278.27467809852,0.8138455991848307
140,15,0.85,6,34702.32198284043,66616.51792762229,0.8119407174381786
141,15,0.9,5,35702.959344076255,68050.47275677128,0.8037574349230171
142,15,0.95,4,37770.23453656046,72910.44774419977,0.7747263223535565
143,15,1.0,7,43708.41634513257,82037.87356348314,0.7147933100923463
144,16,0.0,13,53898.898220570176,84664.47505575434,0.7160506391724224
145,16,0.2,14,40000.00589123141,69900.65052221922,0.8064465617605218
146,16,0.4,9,36833.77227045054,65517.47629021736,0.8299593423825643
147,16,0.6,6,35207.06164557807,64303.525624862625,0.836202214655603
148,16,0.8,6,35054.12601346755,66191.42556096535,0.8264430839073518
149,16,0.85,5,35645.65739884401,67292.2006287879,0.8206225203484959
150,16,0.9,5,36840.82454443701,70874.43108953949,0.801016242708225
151,16,0.95,5,38689.70939480769,75734.61896995749,0.7727900505766465
152,16,1.0,6,45296.209866819096,87631.67245588962,0.6957989868840979
153,17,0.0,17,53808.174017927726,85170.88215129043,0.6630311951653818
154,17,0.2,10,39361.1538688948,68965.20384932208,0.7790635074347179
155,17,0.4,12,34754.62806959988,62204.36980382181,0.820258154774652
