,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
0,0,0.65,6,32954.42962375543,62996.50718301061,0.8402265374341609
1,0,0.7,5,32911.669873032006,62960.90740518532,0.8404070646693212
2,0,0.75,6,32944.39334879167,63135.23481350048,0.8395220730069314
3,1,0.65,8,31863.10831123954,57700.32133777199,0.8441320853221227
4,1,0.7,6,31813.22637164972,58214.52971834248,0.8413416080247632
5,1,0.75,8,32155.50113888109,58412.25722786642,0.8402620010818678
6,2,0.65,9,35198.63928916387,65523.77285032655,0.8188192681190802
7,2,0.7,9,34943.08803339459,64963.15798780962,0.8219063335956786
8,2,0.75,9,34656.22490953783,64727.32025757315,0.823197064164338
9,3,0.65,6,32856.03468564564,61282.2799274178,0.834967965433945
10,3,0.7,5,32727.48274995949,60836.9619377987,0.8373577170529396
11,3,0.75,5,33041.93126104822,61874.814037487515,0.8317611703134461
12,4,0.65,7,34142.54912245917,61869.95910266319,0.8345416507403703
13,4,0.7,5,33878.611687731645,62577.40300509751,0.8307361944995547
14,4,0.75,5,33791.98210539835,62752.460749111626,0.8297878526322069
15,5,0.65,5,34597.4148830069,68206.19926351763,0.8191419204019509
16,5,0.7,7,34500.31282184375,67774.3112483226,0.8214250892805601
17,5,0.75,8,34331.89860402148,67057.26367549354,0.8251837211651369
18,6,0.65,6,32603.16711580431,61347.24394089874,0.8306628808982613
19,6,0.7,8,32425.40306397481,61396.61876545731,0.830390192032493
20,6,0.75,6,32220.754489018647,61623.87650753145,0.8291322569991946
21,7,0.65,6,34410.64629326504,70431.30099581864,0.8000296789718135
22,7,0.7,6,33938.56808553682,70587.03100528901,0.799144396213783
23,7,0.75,5,33782.76175258316,69725.50357943597,0.8040174331082696
24,8,0.65,6,33939.94383520985,65966.17831783408,0.821023367447086
25,8,0.7,5,33772.18215457457,66059.90858594795,0.8205143961463245
26,8,0.75,5,33868.95918609547,66949.62971750302,0.8156470708168867
27,9,0.65,9,33163.8125761552,60167.19312943567,0.8390170144135504
28,9,0.7,7,33090.08007144848,60112.67575515657,0.8393086149717928
29,9,0.75,7,32948.71800661423,60337.7830892709,0.8381028613424558
