,Condition,X,Y,Acres,Stories,TotRooms,Bedrooms,DiningRooms,FullBaths,HalfBaths,AddlFixt,TotFixt,HouseAge,LivingArea,SalePrice
0,6,1809822.078,713778.8152,0.21953,2,9,5,1,1,1,2,7,19,2292,137000
1,6,1839066.163,710531.8431,0.09312,2,6,3,1,2,0,2,8,19,1184,118500
2,7,1839287.374,715382.9469,0.31221,2,10,6,1,4,2,4,20,9,4343,480000
3,7,1832646.278,708721.134,0.06152,2,5,2,1,1,1,2,7,109,1200,260000
4,5,1833645.924,708949.9755,0.14356,2,12,6,2,2,0,4,10,101,2880,175000
5,5,1839392.788,718421.668,0.13854,2,12,6,2,2,0,4,10,100,3144,168500
6,7,1832562.737,708427.6342,0.08479,2,7,3,1,3,1,4,15,19,2412,449000
7,6,1834056.759,708026.4595,0.10906,2,5,2,1,1,0,2,5,9,996,232750
8,5,1819213.789,714430.4513,0.07747,2,6,4,0,1,1,2,7,39,1320,68310
9,5,1830764.451,711146.7557,0.04075,1,4,1,1,1,1,2,7,69,1262,263000
10,4,1832800.283,709157.6549,0.12955,1,6,2,1,2,0,2,8,88,1275,234900
11,5,1831934.583,700751.0399,0.11884,2,6,3,0,2,0,2,8,0,1434,129000
12,6,1829108.194,732570.9711,0.12916,2,6,4,1,2,0,2,8,49,1538,225000
13,5,1829784.395,711185.3031,0.09996,2,7,3,1,1,1,2,7,69,2082,471400
14,6,1835619.828,709325.254,0.10018,2,6,4,1,2,1,2,10,9,1864,273000
15,5,1831812.968,722381.6087,0.09534,2,7,4,0,2,1,2,10,18,1392,57000
16,6,1824377.05,723915.2785,0.10468,2,7,3,1,1,0,2,5,9,1776,429900
17,5,1809535.822,709046.6791,0.10099,2,12,6,2,2,0,4,10,92,2352,132000
18,6,1828612.161,728004.7591,0.13571,1,8,4,1,1,0,2,5,19,1721,327000
19,6,1837524.287,744389.1694,0.16656,2,6,3,1,2,1,2,10,19,1472,160000
20,6,1824126.968,723567.642,0.06623,2,6,3,1,2,1,2,10,9,1508,450000
21,6,1840200.797,719412.5321,0.09751,1.5,6,3,1,2,0,2,8,9,2151,189000
22,5,1841570.924,708215.7875,0.12946,2,6,3,1,1,1,2,7,71,1290,79000
23,5,1834614.37,704817.7541,0.11479,1,4,2,0,1,0,2,5,9,768,119000
24,6,1836430.644,745017.1482,0.25769,1,6,3,1,1,1,2,7,47,1120,150000
25,5,1812246.546,711326.1374,0.1203,2,8,3,1,1,1,2,7,99,1664,95000
26,6,1838850.519,709789.2985,0.10595,2,8,3,1,2,0,3,9,2,1166,175000
27,6,1828235.64,738116.1259,0.12473,2,6,3,1,1,1,2,7,92,1216,275000
